id,time,age,gender,nation,who,education,region,not_kz,played_vg,skills,skills_desc,culture_together,gaming_event,clubs,sleeping_trouble,sick,nation_important,play_only_nation,language_vg,language_communicate,barrier,barrier_desc,barrier_games,prefer_with,prefer_who,type_communication,platform,type_vg,discover_vg,factor_to_play,affect_relationship,affect_wellbeing,closer_teammates,discuss_vg,game_community,game_comunity_name,game_comunity_game,why_games,motivation_continue,for_competition,feel_while_playing,emotions_affect_while_playing,consequences,consequences_p_n,consequences_desc,mental_affect_vg,mental_desc,drained_after,freq_per_week,when_play,time_play,genre_vg,char,char_desc
11,16042023 15:08:12,20-25,Male ,Kazakh,Employed,Higher professional education,Abai region,,Yes,Yes,коммуникацию в доте можно освоить ,Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,Both,friends,Voice,PC,Multiplayer,recommendations,"Graphics, Storyline, Price, reviews, game publisher","No, games don't affect our relationship",No effect,No,"Yes, I discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",excitement,"Can affect my game, lead to mistakes",No,,,Well,даже не знаюю,5,1-5 hours per week,I only play games on certain days,At night,"Action, Puzzle, Strategy",Kind characters,interpersonal
12,16042023 15:09:33,20-25,Male ,Kazakh,Student,Average (full) general,Almaty region,,Yes,Yes,"Analyze, making quick decisions",Yes,Yes,No,"No, I have no trouble","Sometimes, but not often, once every few months",No,No,English,English,"No, I can safely play",,,Both,"Alone, friends, community, family",Voice,PC,Multiplayer,"recommendations, Social media, Ads, reviews, gaming websites","Graphics, reviews, game publisher","Yes, games worsen our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,,"fun, relaxation","gameplay, new goals, improve skills","Yes, I play for the competition","satisfaction, excitement",Make the game more interesting,No,Positive,,Well,it brins positive ,6,6-10 hours per week,I only play games on certain days,In the evening,"Action, Strategy, Sports",Villains,"interesting, motives, abilities, archetype"
13,16042023 15:10:55,12-15,Male ,Kazakh,Schoolkid,Initial general,Almaty region,,Yes,Yes,"For instance, I saw a site where playing a game you need to write code to pass it",Yes,No,Yes,"No, I have no trouble","Sometimes, but not often, once every few months",No,No,Russian,Russian,"No, I can safely play",,,Both,friends,Voice,Mobile,Both,"recommendations, Ads","Graphics, Storyline, personal interest","No, games don't affect our relationship",Unsure,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation",gameplay,"Yes, I play for the competition","satisfaction, excitement, joy, disappointment",Make the game more interesting,Yes,Positive,,Well,Idk,3,Less than 1 hour per week,I only play games on certain days,In the afternoon,"Action, Strategy, Adventure",Kind characters,"interesting, motives, abilities, style, design"
14,16042023 15:11:08,20-25,Female ,Kazakh,Student,Average (full) general,Almaty region,,Yes,Yes,"Точность, ловкость",Yes,No,Yes,I often have trouble sleeping,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,"Csgo, pubg ",Alone,Alone,Voice,"Console, Mobile",Singleplayer,"recommendations, Social media","Graphics, reviews","No, games don't affect our relationship",No effect,No,"No, I don't discuss games with my closers",No,,,fun,new goals,"No, I play for other purposes",satisfaction,Make the game more interesting,No,Negative,"Боли в спине и голова болит, глаза устают",Badly,Устаешь,4,Less than 1 hour per week,I only play games on certain days,In the evening,"Puzzle, Strategy, Adventure, Simulation",Kind characters,motives
15,16042023 15:12:08,26-35,Female ,Kazakh,Employed,Higher professional education,Almaty region,,No,Unsure,,No,No,No,Sometimes there are small problems,"Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16042023 15:12:18,16-19,Female ,Kazakh,Student,Incomplete higher professional education,Turkestan region,,Yes,Yes,Сосредоточенность,Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,Kazakh,"No, I can safely play",,,With someone,"friends, family",Voice,PC,Multiplayer,Ads,Price,"Yes, games improve our relationship",No effect,No,"No, I don't discuss games with my closers",No,,,fun,improve skills,"No, I play for other purposes",joy,"Can affect my game, lead to mistakes",No,,,Well,Спокойствие ,1,1-5 hours per week,I only play games on certain days,In the evening,Adventure,Kind characters,interesting
17,16042023 15:12:47,20-25,Male ,Kazakh,Student,Higher professional education,Akmol region,,Yes,Yes,Внимательность,Yes,Yes,"No, but before yes","No, I have no trouble","Rarely, once or twice a year",No,No,English,Russian,"No, I can safely play",,,Both,friends,Voice,PC,Both,"recommendations, Social media, gaming websites","Graphics, Storyline, Price, reviews, game publisher, personal interest","No, games don't affect our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,,"fun, relaxation, friends",gameplay,"No, I play for other purposes","satisfaction, joy",Make the game more interesting,No,,,Well,Я отдыхаю,4,6-10 hours per week,I only play games on certain days,In the evening,"Action, Strategy",Neutral characters,interesting
18,16042023 15:14:14,16-19,Male ,Kazakh,Student,Average (full) general,Akmol region,,Yes,Unsure,,Yes,No,Yes,"No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Both,community,Voice,"Console, Mobile",Multiplayer,,"Graphics, personal interest","No, games don't affect our relationship",Negatively,Yes,"No, I don't discuss games with my closers",No,,,"fun, relaxation",,"No, I play for other purposes",,Make the game more interesting,No,,,Badly,Никак,5,1-5 hours per week,I only play games on certain days,In the evening,Sports,Kind characters,abilities
19,16042023 15:14:19,12-15,Female ,Kazakh,Schoolkid,Basic General (incomplete secondary),Almaty region,,Yes,Yes,IQ и игры развивающие мозг,Unsure,No,Yes,Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,English,Russian,"No, I can safely play",,,Both,friends,Voice,Mobile,Both,Social media,personal interest,"No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",joy,Make the game more interesting,No,,,Well,я чувствую радость,5,1-5 hours per week,I only play games on certain days,In the evening,Action,Villains,interesting
20,16042023 15:15:04,20-25,Male ,Kazakh,Employed,Incomplete higher professional education,Almaty region,,Yes,Yes,"способность коммуницировать, развить критическое мышление, быстро найти решение проблемы",Yes,No,"No, but before yes",Sometimes there are small problems,"Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,With someone,"friends, community",Voice,"PC, Mobile",Multiplayer,"reviews, gaming websites","Storyline, reviews, personal interest","Yes, games improve our relationship",Unsure,Yes,"Yes, I discuss games with my closers",No,,,"fun, friends","gameplay, competition","Yes, I play for the competition","satisfaction, excitement",Make the game more interesting,No,,,Well,расслабляюсь играя с друзьями после тяжелой недели ,1,1-5 hours per week,I only play games on certain days,In the evening,"Action, Sports",Neutral characters,"interesting, abilities"
21,16042023 15:16:39,20-25,Male ,Kazakh,Employed,"Second (third, etc) higher",East-Kazakhstan region,,Yes,Yes,"Рефлексы, понимание окружающего",Yes,Yes,"No, but before yes",Sometimes there are small problems,"Rarely, once or twice a year",Yes,Yes,English,Russian,"No, I can safely play",,,Both,"Alone, friends, community, family",Voice,"PC, Console, Mobile",Both,"recommendations, Social media, reviews, gaming websites","Graphics, Storyline, reviews, personal interest","No, games don't affect our relationship",Positively,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation, reaction, friends, achieve","gameplay, new goals, improve skills, better than others, competition","Yes, I play for the competition","satisfaction, excitement, joy, disappointment, stress",Make the game more interesting,No,,,Well,Прилив эмоций,10,6-10 hours per week,I only play games on certain days,In the evening,"Action, Puzzle, Strategy, Sports, Adventure, Role-playing, Simulation",Villains,"interesting, motives, abilities, biography, archetype, interpersonal, style, design"
22,16042023 15:17:01,20-25,Female ,Kazakh,Student,Incomplete higher professional education,Akmol region,,Yes,Yes,"Reading, speaking, реакция реагирования ",Yes,No,Yes,I have serious problems sleeping,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Alone,"Alone, friends, community, family",Chat,"PC, Console, Mobile",Both,"recommendations, Social media, Ads, reviews, gaming websites","Graphics, Storyline, Price, reviews, game publisher, personal interest","No, games don't affect our relationship",Unsure,No,"Yes, I discuss games with my closers",No,,,fun,,"Yes, I play for the competition","satisfaction, excitement, joy, disappointment, stress",Make the game more interesting,Yes,Negative,,Badly,Нервозность появляется ,5,1-5 hours per week,I only play games on certain days,In the afternoon,"Action, Puzzle, Strategy, Simulation",Neutral characters,design
23,16042023 15:18:25,20-25,Female ,Kazakh,Student,Average (full) general,Turkestan region,,Yes,No,,Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",No,No,English,Russian,"No, I can safely play",,,Alone,Alone,Chat,Mobile,Singleplayer,"recommendations, Social media","Graphics, Storyline, personal interest","No, games don't affect our relationship",No effect,No,"No, I don't discuss games with my closers",No,,,fun,competition,"No, I play for other purposes",stress,Make the game more interesting,No,,,Badly,"Истощают, гасят желание делать что-либо полезное в реальном мире",10,Less than 1 hour per week,I only play games on certain days,In the afternoon,"Puzzle, Strategy",Neutral characters,abilities
24,16042023 15:22:33,20-25,Male ,Kazakh,Student,Incomplete higher professional education,Turkestan region,,Yes,Yes,"Навыки наблюдение, оценивание, мышление и стремление достичь к чему то",Yes,No,"No, but before yes","No, I have no trouble","Sometimes, but not often, once every few months",No,No,English,English,"No, I can safely play",,,Both,"Alone, friends, community",Voice,"PC, Console, Mobile",Both,"recommendations, reviews","Graphics, Storyline, reviews, personal interest","No, games don't affect our relationship",Positively,Yes,"Yes, I discuss games with my closers",No,,,"relaxation, achieve","gameplay, new goals, improve skills","No, I play for other purposes","satisfaction, joy",Can affect my mood in real life,Yes,Positive,"Благодаря заданиям, миссии в игре я смог развить навык ""никогда не сдаваться""",Well,Положительно,1,More than 20 hours per week,I only play games on certain days,In the evening,"Strategy, Adventure, Role-playing",Kind characters,"interesting, motives, abilities, biography, style, design"
25,16042023 15:22:34,36-44,Female ,Kazakh,Employed,Higher professional education,Karaganda region,,Yes,Yes,Усваивается лучше ,Yes,No,"No, but before yes","No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Alone,community,Voice,Mobile,Multiplayer,recommendations,reviews,"No, games don't affect our relationship",No effect,No,"Yes, I discuss games with my closers",No,,,relaxation,"new goals, improve skills","Yes, I play for the competition",excitement,Make the game more interesting,No,Positive,,Well,+,6,Less than 1 hour per week,I only play games on certain days,In the evening,Puzzle,Kind characters,motives
26,16042023 15:25:51,20-25,Female ,Kazakh,Student,Average (full) general,Aktobe region,,Yes,Yes,At least it teaches to rapidly get and refine information,Yes,No,"No, but before yes","No, I have no trouble","Sometimes, but not often, once every few months",No,No,English,I don't communicate with teammates,Yes,My biological gender,"All games where you need to communicate via voice channels, mostly shooters",Alone,Alone,,"PC, Console, Mobile",Singleplayer,"Social media, gaming websites","Graphics, Storyline, Price, reviews, game publisher, personal interest","No, games don't affect our relationship",Positively,Yes,"Yes, I discuss games with my closers",Yes,ONMYOJI,,"fun, relaxation",gameplay,"No, I play for other purposes","satisfaction, excitement, disappointment, stress",Can affect my mood in real life,Yes,Negative,"Postrly feeling of frustration if solving puzzle took too much, or I kept failing due to lack of attention",Well,I helps to relax and forget about problems for some time,6,Less than 1 hour per week,I only play games on certain days,In the evening,"Puzzle, Adventure, Simulation",Neutral characters,"interesting, abilities, biography, archetype, interpersonal, style, design"
27,16042023 15:26:16,26-35,Female ,Kazakh,Employed,Higher professional education,Almaty region,,Yes,Yes,,Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",Yes,No,Russian,Kazakh,Yes,,,Both,Alone,Voice,PC,Singleplayer,recommendations,Graphics,"No, games don't affect our relationship",Positively,Yes,"No, I don't discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",satisfaction,Make the game more interesting,No,Positive,,Well,Никак,1,Less than 1 hour per week,I only play games on certain days,At night,Action,Kind characters,"interpersonal, style"
28,16042023 15:29:27,45-50,Female ,Kazakh,Employed,Higher professional education,Karaganda region,,No,Unsure,,Unsure,No,No,"No, I have no trouble","Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,16042023 15:30:03,36-44,Female ,Kazakh,Employed,Higher professional education,Karaganda region,,No,Unsure,,Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,16042023 15:33:02,26-35,Female ,Kazakh,Employed,Higher professional education,Almaty region,,No,Unsure,,Yes,Yes,Yes,Sometimes there are small problems,"Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,16042023 15:33:33,26-35,Female ,Kazakh,Employed,Higher professional education,East-Kazakhstan region,,No,Yes,,Yes,No,No,Sometimes there are small problems,"Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,16042023 15:39:44,12-15,Female ,Kazakh,Schoolkid,Academic degree,Karaganda region,,Yes,Yes,"навыки мышления, если игра идет на такое",Yes,Yes,Yes,Sometimes there are small problems,"Rarely, once or twice a year",Yes,No,Russian,Russian,"No, I can safely play",,,Alone,Alone,Voice,PC,Multiplayer,recommendations,Price,"Yes, games improve our relationship",Negatively,Yes,"Yes, I discuss games with my closers",No,,,fun,gameplay,"Yes, I play for the competition",satisfaction,Make the game more interesting,No,Positive,,Well,"развиваю пальцы, голову и так далее",10,Less than 1 hour per week,I only play games on certain days,In the afternoon,Puzzle,Kind characters,motives
33,16042023 15:39:48,20-25,Male ,Kazakh,Student,Average (full) general,China,China,Yes,Yes,,Yes,Yes,"No, but before yes",I often have trouble sleeping,"Rarely, once or twice a year",Yes,No,Russian,Kazakh,Yes,"Матчмейкинг подбирает разных людей и бывает так что нет общего 
языка и поэтому сложно давать какую либо информацию тиммейту",Почти во всех онлайн играх ,With someone,friends,Chat,"PC, Console, Mobile",Multiplayer,"recommendations, Social media, reviews","Graphics, Storyline, Price, reviews, personal interest","Yes, games improve our relationship",Unsure,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation, friends","gameplay, improve skills","No, I play for other purposes","satisfaction, excitement, joy","Can affect my game, lead to mistakes",No,Negative,,Well,Можно расслабиться после тяжелого дня ,5,1-5 hours per week,I only play games on certain days,In the evening,"Strategy, Sports, Simulation",Neutral characters,
34,16042023 15:39:55,16-19,Female ,Kazakh,Schoolkid,Basic General (incomplete secondary),Almaty region,,Yes,Unsure,,Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,Both,"Alone, friends, family",Voice,"PC, Mobile",Both,"recommendations, Social media","Graphics, Storyline, reviews, personal interest","Yes, games improve our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,,"fun, relaxation",gameplay,"No, I play for other purposes",satisfaction,Make the game more interesting,No,,,Well,"Help to relax and forget about problems for a while
",5,Less than 1 hour per week,I only play games on certain days,In the evening,"Puzzle, Adventure, Simulation",Kind characters,interesting
35,16042023 15:40:04,16-19,Male ,Kazakh,Schoolkid,Average (full) general,Akmol region,,Yes,Yes,Критическое мышление,Yes,No,Yes,Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,English,Russian,"No, I can safely play",,,Both,friends,Voice,"PC, Mobile",Both,"Social media, Ads","Graphics, Storyline, Price, personal interest","No, games don't affect our relationship",Positively,Yes,"No, I don't discuss games with my closers",No,,,"fun, relaxation, friends","gameplay, new goals, improve skills","No, I play for other purposes","satisfaction, joy, disappointment",Make the game more interesting,No,,,Well,"Можно расслабиться, забыв о проблемах",1,1-5 hours per week,I only play games on certain days,In the evening,"Action, Puzzle, Strategy, Adventure",Kind characters,"interesting, abilities, style"
36,16042023 15:40:56,20-25,Female ,Kazakh,Student,Initial professional,Akmol region,,Yes,Yes,,Yes,No,Yes,I often have trouble sleeping,"Rarely, once or twice a year",No,No,Russian,Russian,Yes,,,Alone,Alone,Voice,"PC, Console, Mobile",Both,"recommendations, Social media, Ads, reviews","Graphics, Storyline, Price, reviews, game publisher, personal interest","No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation, reaction, achieve","gameplay, new goals, improve skills, better than others, competition","Yes, I play for the competition","satisfaction, excitement, joy, disappointment",Can affect my mood in real life,Yes,Negative,Worsened eyesight ,Well,Calmness,5,6-10 hours per week,I only play games on certain days,In the evening,"Action, Puzzle, Strategy, Adventure, Role-playing, Simulation",Neutral characters,"interesting, motives, abilities, biography, archetype, interpersonal, style, design"
37,16042023 15:41:32,16-19,Female ,Uighur,Student,Incomplete higher professional education,West-Kazakhstan region,,Yes,Yes,,Yes,Yes,"No, but before yes",I often have trouble sleeping,"Quite often, every month or more often",No,No,Russian,Russian,Yes,,,Alone,"Alone, family",Chat,PC,Multiplayer,recommendations,personal interest,"No, games don't affect our relationship",Positively,Yes,"Yes, I discuss games with my closers",Yes,,,relaxation,improve skills,"Yes, I play for the competition",satisfaction,"Can affect my game, lead to mistakes",Yes,Positive,,Well,А,5,Less than 1 hour per week,I only play games on certain days,In the evening,Role-playing,Villains,interesting
38,16042023 15:41:43,36-44,Female ,Kazakh,Employed,Higher professional education,Karaganda region,,No,No,,Yes,Yes,No,Sometimes there are small problems,"Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,16042023 15:42:39,16-19,Male ,Kazakh,Student,Higher professional education,Atyrau region,,Yes,Yes,"Critical thinking, logic, reaction",Yes,Yes,No,Sometimes there are small problems,"Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,Both,"Alone, friends, community, family",Voice,PC,Both,"recommendations, Social media, gaming websites","Graphics, Storyline, Price, personal interest","Yes, games improve our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation",gameplay,"No, I play for other purposes","satisfaction, joy",Make the game more interesting,No,,,Well,Помогает избавиться от тревожных мыслей,4,Less than 1 hour per week,I only play games on certain days,In the evening,"Action, Strategy, Sports, Adventure",Kind characters,interesting
40,16042023 15:43:04,16-19,Female ,Kazakh,Schoolkid,Basic General (incomplete secondary),Almaty region,,Yes,Yes,,Yes,No,Yes,I have serious problems sleeping,"Sometimes, but not often, once every few months",No,No,English,I don't communicate with teammates,"No, I can safely play",,,With someone,friends,Voice,PC,Multiplayer,"recommendations, Social media","Graphics, Storyline, Price, reviews, game publisher, personal interest","No, games don't affect our relationship",Unsure,Yes,"No, I don't discuss games with my closers",No,,,"fun, relaxation",new goals,"No, I play for other purposes","satisfaction, joy",Make the game more interesting,No,,,Well,Дают расслабиться после тяжелого дня,3,Less than 1 hour per week,I only play games on certain days,At night,"Adventure, Simulation",Neutral characters,"motives, design"
41,16042023 15:48:38,36-44,Female ,Kazakh,Employed,Higher professional education,East-Kazakhstan region,,No,No,,Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,16042023 15:50:58,26-35,Female ,Kazakh,Employed,Academic degree,North-Kazakhstan region,,Yes,Yes,,Yes,No,"No, but before yes",Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Both,Alone,Chat,"PC, Console, Mobile",Both,recommendations,personal interest,"Yes, games improve our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation",gameplay,"No, I play for other purposes",satisfaction,Make the game more interesting,Yes,Negative,Ухудшение зрения,Well,Нормально ,3,Less than 1 hour per week,I only play games on certain days,At night,Simulation,Neutral characters,interesting
43,16042023 15:52:26,20-25,Male ,Kazakh,Employed,Incomplete higher professional education,Karaganda region,,Yes,No,,Yes,Yes,"No, but before yes",Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,English,"No, I can safely play",,,With someone,friends,Voice,PC,Multiplayer,recommendations,personal interest,"Yes, games improve our relationship",Positively,Yes,"Yes, I discuss games with my closers",Yes,Убиты_НоНе_Вами ,"Warface, Dota 2, Phasmafobia ","fun, friends, achieve","gameplay, new goals, competition","Yes, I play for the competition","satisfaction, excitement, joy, disappointment",Make the game more interesting,No,,,Well,Будто хорошо поел ,1,11-20 hours per week,I only play games on certain days,In the evening,Action,Villains,"interesting, motives, archetype"
44,16042023 15:52:31,26-35,Female ,Kazakh,Unemployed,Higher professional education,Karaganda region,,Yes,Yes,"Изучение иностранных языков в игровой форме, логические задачи, закрепление знаний в разных отраслях науки посредством игры",Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",Yes,No,Russian,Russian,"No, I can safely play",,,Both,family,Voice,Mobile,Singleplayer,recommendations,"Graphics, Storyline","Yes, games improve our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",joy,Make the game more interesting,No,Negative,Усталость в руках от джостиков и болели глаза от экранов.,Badly,Трата времени и здоровья,8,Less than 1 hour per week,I only play games on certain days,In the afternoon,Puzzle,Kind characters,interesting
45,16042023 15:55:01,16-19,Male ,Kazakh,Student,Incomplete higher professional education,Almaty region,,Yes,Unsure,,Unsure,No,Yes,Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Both,friends,Voice,"PC, Mobile",Both,"recommendations, Ads","Graphics, Storyline, reviews","No, games don't affect our relationship",Unsure,Yes,"No, I don't discuss games with my closers",No,,,fun,"gameplay, improve skills","Yes, I play for the competition","satisfaction, joy",Make the game more interesting,No,Positive,,Well,well,1,6-10 hours per week,I only play games on certain days,In the afternoon,"Action, Strategy, Sports, Adventure, Simulation",Neutral characters,design
